School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%,Postcode,City
Macrobertson Girls High School,MELBOURNE,515,100,37,36.6,3004,MELBOURNE CITY
Maffra Secondary College,MAFFRA,78,96,26,2,3860,VIC FAR COUNTRY
Mallacoota P-12 College,MALLACOOTA,19,100,27,0,3892,VIC FAR COUNTRY
Manangatang P-12 College,MANANGATANG,11,100,27,2.8,3546,VIC FAR COUNTRY
Manor Lakes P-12 College,WYNDHAM VALE,141,91,27,2.5,3024,MELB NORTH WEST
Mansfield Secondary College,MANSFIELD,82,98,27,0.5,3722,VIC FAR COUNTRY
Mansfield Secondary College,MANSFIELD,82,98,27,0.5,3724,VIC FAR COUNTRY
Maranatha Christian School,ENDEAVOUR HILLS,123,100,31,8,3802,DANDENONG
Marcellin College,BULLEEN,291,100,30,7.5,3105,RINGWOOD
Marian College,ARARAT,96,98,27,4.2,3377,VIC FAR COUNTRY
Marian College,MYRTLEFORD,53,100,27,0,3736,VIC FAR COUNTRY
Marian College,MYRTLEFORD,53,100,27,0,3737,VIC FAR COUNTRY
Marian College,SUNSHINE WEST,189,97,29,4.1,3020,FOOTSCRAY
Maribyrnong Secondary College,MARIBYRNONG,224,95,29,5.8,3032,FOOTSCRAY
Marist Sion College,WARRAGUL,150,98,29,6,3820,VIC COUNTRY
Mary MacKillop Catholic College,LEONGATHA,111,98,30,4.9,3953,VIC FAR COUNTRY
Maryborough Education Centre,MARYBOROUGH,111,90,24,1.2,3465,VIC FAR COUNTRY
Marymede Catholic College,SOUTH MORANG,162,99,30,4.7,3752,RINGWOOD
Mater Christi College,BELGRAVE,225,100,32,10.9,3160,FERNTREE GULLY
Matthew Flinders Girls Secondary College,GEELONG,158,99,26,1.8,3220,VIC COUNTRY
Mazenod College,MULGRAVE,414,100,32,10.9,3170,MULGRAVE
McClelland Secondary College,FRANKSTON,152,98,29,3.8,3199,FRANKSTON
